Temporada,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Resultado,Arbitro
2013-14,30,MAR 25.03.2014,20:00,Málaga CF,RCD Espanyol de Barcelona,1-2,-
2013-14,30,MAR 25.03.2014,22:00,Elche CF,Athletic Club,0-0,-
2013-14,30,MIE 26.03.2014,20:00,FC Barcelona,RC Celta,3-0,-
2013-14,30,MIE 26.03.2014,20:00,Rayo Vallecano,CA Osasuna,1-0,-
2013-14,30,MIE 26.03.2014,22:00,Atlético de Madrid,Granada CF,1-0,-
2013-14,30,MIE 26.03.2014,22:00,Sevilla FC,Real Madrid,2-1,-
2013-14,30,JUE 27.03.2014,20:00,Getafe CF,Villarreal CF,0-1,-
2013-14,30,JUE 27.03.2014,20:00,Real Sociedad,Real Valladolid CF,1-0,-
2013-14,30,JUE 27.03.2014,22:00,UD Almería,Valencia CF,2-2,-
2013-14,30,JUE 27.03.2014,22:00,Levante UD,Real Betis,1-3,-
2013-14,31,SAB 29.03.2014,16:00,RCD Espanyol de Barcelona,FC Barcelona,0-1,-
2013-14,31,SAB 29.03.2014,18:00,RC Celta,Sevilla FC,1-0,-
2013-14,31,SAB 29.03.2014,20:00,Athletic Club,Atlético de Madrid,1-2,-
2013-14,31,SAB 29.03.2014,22:00,Real Madrid,Rayo Vallecano,5-0,-
2013-14,31,DOM 30.03.2014,12:00,Real Valladolid CF,UD Almería,1-0,-
2013-14,31,DOM 30.03.2014,17:00,CA Osasuna,Real Sociedad,1-1,-
2013-14,31,DOM 30.03.2014,19:00,Villarreal CF,Elche CF,1-1,-
2013-14,31,DOM 30.03.2014,21:00,Valencia CF,Getafe CF,1-3,-
2013-14,31,LUN 31.03.2014,20:00,Granada CF,Levante UD,0-2,-
2013-14,31,LUN 31.03.2014,22:00,Real Betis,Málaga CF,1-2,-
2013-14,32,VIE 04.04.2014,21:00,UD Almería,CA Osasuna,1-2,-
2013-14,32,SAB 05.04.2014,16:00,Atlético de Madrid,Villarreal CF,1-0,-
2013-14,32,SAB 05.04.2014,18:00,FC Barcelona,Real Betis,3-1,-
2013-14,32,SAB 05.04.2014,20:00,Real Sociedad,Real Madrid,0-4,-
